id,session_id,student_id,class_id,subject_id,attendance_status,attendance_date,checkin_time,remarks,recorded_at
ATT00001,SES-20260118-3LILY-BM,S001,3 LILY,c001,present,2026-01-18,,,2026-05-01 22:01:49
ATT00002,SES-20260119-3LILY-BM,S001,3 LILY,c001,present,2026-01-19,,,2026-05-01 22:01:49
ATT00003,SES-20260121-3LILY-BM,S001,3 LILY,c001,present,2026-01-21,,,2026-05-01 22:01:49
ATT00004,SES-20260125-3LILY-BM,S001,3 LILY,c001,excused,2026-01-25,,,2026-05-01 22:01:49
ATT00005,SES-20260126-3LILY-BM,S001,3 LILY,c001,present,2026-01-26,,,2026-05-01 22:01:49
ATT00006,SES-20260128-3LILY-BM,S001,3 LILY,c001,present,2026-01-28,,,2026-05-01 22:01:49
ATT00007,SES-20260129-3LILY-BM,S001,3 LILY,c001,present,2026-01-29,,,2026-05-01 22:01:49
ATT00008,SES-20260118-3LILY-BM,S002,3 LILY,c001,present,2026-01-18,,,2026-05-01 22:01:49
ATT00009,SES-20260119-3LILY-BM,S002,3 LILY,c001,present,2026-01-19,,,2026-05-01 22:01:49
ATT00010,SES-20260121-3LILY-BM,S002,3 LILY,c001,present,2026-01-21,,,2026-05-01 22:01:49
ATT00011,SES-20260122-3LILY-BM,S002,3 LILY,c001,excused,2026-01-22,,,2026-05-01 22:01:49
ATT00012,SES-20260125-3LILY-BM,S002,3 LILY,c001,excused,2026-01-25,,,2026-05-01 22:01:49
ATT00013,SES-20260126-3LILY-BM,S002,3 LILY,c001,present,2026-01-26,,,2026-05-01 22:01:49
ATT00014,SES-20260128-3LILY-BM,S002,3 LILY,c001,present,2026-01-28,,,2026-05-01 22:01:49
ATT00015,SES-20260129-3LILY-BM,S002,3 LILY,c001,present,2026-01-29,,,2026-05-01 22:01:49
ATT00016,SES-20260118-3LILY-BM,S003,3 LILY,c001,present,2026-01-18,,,2026-05-01 22:01:49
ATT00017,SES-20260119-3LILY-BM,S003,3 LILY,c001,present,2026-01-19,,,2026-05-01 22:01:49
ATT00018,SES-20260121-3LILY-BM,S003,3 LILY,c001,present,2026-01-21,,,2026-05-01 22:01:49
ATT00019,SES-20260122-3LILY-BM,S003,3 LILY,c001,excused,2026-01-22,,,2026-05-01 22:01:49
ATT00020,SES-20260125-3LILY-BM,S003,3 LILY,c001,excused,2026-01-25,,,2026-05-01 22:01:49
ATT00021,SES-20260126-3LILY-BM,S003,3 LILY,c001,present,2026-01-26,,,2026-05-01 22:01:49
ATT00022,SES-20260128-3LILY-BM,S003,3 LILY,c001,present,2026-01-28,,,2026-05-01 22:01:49
ATT00023,SES-20260129-3LILY-BM,S003,3 LILY,c001,present,2026-01-29,,,2026-05-01 22:01:49
ATT00024,SES-20260118-3LILY-BM,S004,3 LILY,c001,present,2026-01-18,,,2026-05-01 22:01:49
ATT00025,SES-20260119-3LILY-BM,S004,3 LILY,c001,present,2026-01-19,,,2026-05-01 22:01:49
ATT00026,SES-20260121-3LILY-BM,S004,3 LILY,c001,present,2026-01-21,,,2026-05-01 22:01:49
ATT00027,SES-20260122-3LILY-BM,S004,3 LILY,c001,excused,2026-01-22,,,2026-05-01 22:01:49
ATT00028,SES-20260125-3LILY-BM,S004,3 LILY,c001,excused,2026-01-25,,,2026-05-01 22:01:49
ATT00029,SES-20260126-3LILY-BM,S004,3 LILY,c001,present,2026-01-26,,,2026-05-01 22:01:49
ATT00030,SES-20260128-3LILY-BM,S004,3 LILY,c001,present,2026-01-28,,,2026-05-01 22:01:49
ATT00031,SES-20260129-3LILY-BM,S004,3 LILY,c001,present,2026-01-29,,,2026-05-01 22:01:49
ATT00032,SES-20260118-3LILY-MT,S005,3 LILY,c002,present,2026-01-18,,,2026-05-01 22:01:49
ATT00033,SES-20260119-3LILY-MT,S005,3 LILY,c002,present,2026-01-19,,,2026-05-01 22:01:49
ATT00034,SES-20260125-3LILY-MT,S005,3 LILY,c002,present,2026-01-25,,,2026-05-01 22:01:49
ATT00035,SES-20260126-3LILY-MT,S005,3 LILY,c002,present,2026-01-26,,,2026-05-01 22:01:49
ATT00036,SES-20260118-3LILY-MT,S006,3 LILY,c002,present,2026-01-18,,,2026-05-01 22:01:49
ATT00037,SES-20260119-3LILY-MT,S006,3 LILY,c002,present,2026-01-19,,,2026-05-01 22:01:49
ATT00038,SES-20260125-3LILY-MT,S006,3 LILY,c002,present,2026-01-25,,,2026-05-01 22:01:49
ATT00039,SES-20260126-3LILY-MT,S006,3 LILY,c002,present,2026-01-26,,,2026-05-01 22:01:49
ATT00040,SES-20260118-3LILY-MT,S001,3 LILY,c002,present,2026-01-18,,,2026-05-01 22:01:49
ATT00041,SES-20260119-3LILY-MT,S001,3 LILY,c002,present,2026-01-19,,,2026-05-01 22:01:49
ATT00042,SES-20260125-3LILY-MT,S001,3 LILY,c002,present,2026-01-25,,,2026-05-01 22:01:49
ATT00043,SES-20260126-3LILY-MT,S001,3 LILY,c002,present,2026-01-26,,,2026-05-01 22:01:49
ATT00044,SES-20260118-3LILY-MT,S007,3 LILY,c002,present,2026-01-18,,,2026-05-01 22:01:49
ATT00045,SES-20260119-3LILY-MT,S007,3 LILY,c002,present,2026-01-19,,,2026-05-01 22:01:49
ATT00046,SES-20260125-3LILY-MT,S007,3 LILY,c002,present,2026-01-25,,,2026-05-01 22:01:49
ATT00047,SES-20260126-3LILY-MT,S007,3 LILY,c002,present,2026-01-26,,,2026-05-01 22:01:49
ATT00048,SES-20260118-3LILY-MT,S003,3 LILY,c002,present,2026-01-18,,,2026-05-01 22:01:49
ATT00049,SES-20260119-3LILY-MT,S003,3 LILY,c002,present,2026-01-19,,,2026-05-01 22:01:49
ATT00050,SES-20260125-3LILY-MT,S003,3 LILY,c002,present,2026-01-25,,,2026-05-01 22:01:49
ATT00051,SES-20260126-3LILY-MT,S003,3 LILY,c002,present,2026-01-26,,,2026-05-01 22:01:49
ATT00052,SES-20260119-2LILY-BM,S008,2 LILY,c001,present,2026-01-19,,,2026-05-01 22:01:49
ATT00053,SES-20260120-2LILY-BM,S008,2 LILY,c001,present,2026-01-20,,,2026-05-01 22:01:49
ATT00054,SES-20260121-2LILY-BM,S008,2 LILY,c001,present,2026-01-21,,,2026-05-01 22:01:49
ATT00055,SES-20260122-2LILY-BM,S008,2 LILY,c001,excused,2026-01-22,,,2026-05-01 22:01:49
ATT00056,SES-20260126-2LILY-BM,S008,2 LILY,c001,present,2026-01-26,,,2026-05-01 22:01:49
